ID,SQ1,SQ2_1,SQ2_2,SQ3,A1,A2,A3,A4,A5,B1,B2,B3,B4,B4_ETC,B5,B6,B6_ETC,B7,B7_ETC,B8,B9,B10,B11,B12,B13,B13_ETC,B14_1,B14_2,B14_3,B14_4,B15,B16_1,B16_2,B16_3,B16_4,B17_1,B17_2,B17_3,B18_1,B18_2,B18_3,B19_1,B19_2,B19_3,B20,B20_ETC,C1,C1_ETC,C2,C3,C3_ETC,C4,C5,C6_1,C6_2,C6_3,C6_4,C6_ETC,C7,C8,C9_1,C9_2,C9_3,C9_ETC,C10_1,C10_2,C10_3,C10_4,C10_5,C10_6,C10_7,C10_8,C10_9,C10_ETC,C11_1,C11_2,C11_3,C11_ETC,C12,C12_ETC,C13_1,C13_2,C14,C14_ETC,C15_1,C15_2,C16,C17_1,C17_2,C17_3,C17_4,C17_5,C18_1,C18_2,C18_3,C18_4,C19_1,C19_2,C19_3,C19_4,C20_1,C20_2,C20_3,C20_4,C21_1,C21_2,C21_3,C21_ETC,C22,C22_ETC,D1,D2,D3,D4,D5_1,D5_2,D5_3,D5_4,D5_5,D5_6,D5_7,D5_8,D5_9,D5_10,D5_11,D5_12,SUM_D5,D5_ETC,D6,D7,D8_1,D8_2,D8_3,D8_4,D8_5,D8_6,D8_7,D8_ETC,D9_1,D9_2,D9_3,D9_ETC,D10,D11,D12,D13_1,D13_2,D13_3,D13_4,D14_1,D14_2,D14_3,D15_1,D15_2,D15_3,D16_1,D16_2,D16_3,D17,D17_ETC,E1_1,E1_2,E1_3,E1_4,E1_5,E1_6,E1_7,E1_8,E1_ETC,E2_1,E2_2,E2_3,E2_ETC,E3,E3_ETC,E4_1,E4_2,E4_3,E4_4,E4_5,E4_6,E4_7,E4_8,E4_9,E4_10,E4_ETC,E5_1,E5_2,E5_3,E5_4,E5_5,E5_6,E5_7,E5_8,E5_9,E5_ETC,E6,E7_1,E7_2,E7_3,E7_4,E7_5,E7_6,E7_7,E7_8,E7_9,E7_ETC,E8,E8_ETC,E9_1,E9_2,E9_3,E10,E11,E11_ETC,E12,E13_1,E13_2,E13_3,E13_ETC,E14,E15_1,E15_2,E15_3,E15_4,E16_1,E16_2,E16_3,E17_1,E17_2,E17_3,E18_1,E18_2,E18_3,E19,E19_ETC,F1,F2,F2_1,F3,F4,F5,F5_ETC,F6_1,F6_2,F6_ETC,F7,F8,F8_ETC,F9_1,F9_2,F9_3,F9_4,F9_5,F9_6,F9_7,F9_8,F9_9,F9_10,F9_ETC,F10,F11,F11_ETC,F12_1,F12_2,F12_3,F12_4,F12_5,F13,F14,F15,F16,G1_1,G1_2,G1_3,G1_ETC,G2_1,G2_2,G2_ETC,G3_1,G3_2,G3_3,G3_4,G3_5,G3_6,G3_7,G3_8,G3_9,G4_1,G4_2,G4_3,G4_4,G4_5,G4_6,G4_7,G4_8,G4_9,G4_10,G4_11,G4_12,G4_13,G4_14,G4_15,G5_1,G5_2,G5_3,G5_4,G5_5,G5_6,G5_7,G5_8,G5_9,G5_ETC,G6_1,G6_2,G6_3,G6_4,G6_5,G6_6,G6_ETC,G7_1,G7_2,G7_3,G7_4,G7_5,G8,G8_ETC,G9_1,G9_2,G9_ETC,G10,G11_1,G11_2,G11_3,G11_ETC,G12_1,G12_2,G12_3,G13,G14,G15,G16,G17,H1,H2,H3,H3_ETC,H4_1,H4_2,H4_3,H4_4,H4_5,H4_6,H4_7,H4_8,H4_9,H4_ETC,H5_1,H5_2,H5_3,H5_4,H5_5,H5_6,H5_7,H5_8,H5_9,H5_ETC,H6,H7,H8_1,H8_2,H8_3,H8_4,H8_5,H8_6,H8_ETC,H9_1,H9_1_ETC,H9_2,H9_2_ETC,H9_3,H9_3_ETC,H9_4,H9_4_ETC,H9_5,H9_5_ETC,H10,H11_1,H11_2,H12,H13,H14,H15,H16,H16_ETC,H17,H18_1,H18_2,H18_ETC,I1_1,I1_2,I1_3,I1_4,I1_5,I2_1,I2_2,I3_1,I3_2
2387,2,26,3,8,4,1,3,2,,3,3,3,,,,,,,,,,,3,1,1,,,,,4,3,,,,4,,,,,,,3,3,3,1,,1,,4,1,,,,,,,,,,2,13,,,,,,,,,,,,,,,,,,1,,26,1,1,,3,3,3,1,,,,,2,,,,3,,,,3,3,3,3,3,2,1,,1,,8,,250,100,,,,,,,,,,,,,,,700,,,,,,,,,,3,1,2,,3,2,,,2,,,,2,,,1,,3,3,3,1,,,,,,,,,8,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,9,,,,0,0,2700,4,4,,3,7,2,3,,2,,,,4,,,,,,,3,3,3,2,,5,1,10,2,3,1,,,,,3,,,,,,,,,,,9,,,3,3,,3,3,4,3,4,1,2,1,3,1,2,4,,4,5,,4,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,15,1,2,,,,,,,,,,,,,,6,,,,,,,1,,1,4,,4,,,,,3,1,1,3,2,,,3,1,5,1,,,,,,,,,,9,,,,,,,,,,9,,1,3,,,,,,6,,,,,,,,,,,,3,3,4,2,,,3,1,,3,1,4,,1,3,3,1,1,3,3,8,10
2388,1,28,3,8,4,1,3,2,,5,3,3,,,,,,,,,,,2,2,3,,,,,4,4,,2,,,,2,,,3,,2,2,2,2,,1,,5,1,,,,,,,,,,2,13,,,,,,,,,,,,,,,,,,1,,28,6,1,,2,1,4,,,,4,,,,,2,,,,3,4,4,4,4,4,3,2,,3,,6,,50,100,,,,,,,,,,,,,,,0,,,,,,,,,,1,5,6,,5,1,30,1,,,,2,,,3,,,4,4,4,2,,,,,,,,,8,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,9,,,,0,2000,0,5,1,,2,3,2,1,,2,,,,4,,,,,,,2,2,2,2,,1,3,,2,4,5,,,,,3,,,,2,,,,,,,,,,2,,,4,3,4,4,4,2,,,4,4,1,11,,3,1,,1,1,1,3,1,1,1,1,1,,,,,,,,,,,,,,,15,,,,,,,,,9,,,,,,,6,,,,,,,1,,7,,,4,,,,,1,1,1,4,2,,,2,1,5,1,,,,,,,,,,9,,,,,,,,,,9,,1,2,,,,,,6,,,,,,,,,,,,2,4,4,2,,,2,7,,2,2,1,,2,3,3,2,3,4,4,7,8
2389,1,33,4,17,4,3,1,1,2,7,1,,1,,6,1,,1,,2,2,4,,,,,,,,4,4,,2,,,,1,,,,,3,3,4,2,,1,,6,1,,,40000,50,50,0,0,,,2,2,4,3,,,2,,,,,,,,,,,,,1,,30,3,1,,4,4,4,1,,,,,2,,,,2,,,,4,4,3,3,2,1,3,,1,,7,700,,,100,100,0,100,0,0,100,0,100,100,100,0,700,,100,2,,,,,,,,,3,2,1,,4,2,,,,3,,,,2,,,1,4,4,3,2,,,,3,,,,,,,2,3,4,,5,,,,3,,,,,,,,,,,,4,,,,,,,20000,,,3,,,,,,,,2,,20000,20000,0,3,,,4,3,2,1,,2,,2,,,,2,,,2,,3,2,4,2,,2,2,,1,2,2,,2,1,,3,,,,2,,,,,,,,,,3,1,,3,4,4,4,3,1,1,,4,2,1,4,,3,2,,3,3,3,2,2,2,2,2,3,,,3,,5,,,,,,,,,,,,,,,5,,,,,,,2,,,,,,,4,,,,1,,2,1,,3,2,1,5,,4,3,3,3,1,1,,3,1,10,2,,,,3,,,,,,,,,2,,,,,,,,,1,10,,2,,,,,,,,3,,,,,,,,4,3,3,1,1,,4,3,,4,1,2,,4,4,3,3,3,3,4,8,7
2390,1,27,3,1,2,1,3,2,,4,3,1,,,,,,,,,,,3,2,,,,,,4,5,,,3,,,,2,,,3,4,3,4,2,,1,,5,1,,,,,,,,,,2,1,10,11,,,,,,,,,,,,,,,,3,충남 계룡시,3,0,1,,5,4,5,,,3,,,,,2,,,,3,,4,4,5,5,4,2,3,,1,,4,,30,100,,,,,,,,,,,,,,,0,,,,,,,,,,9,1,4,,4,2,,1,2,3,,1,2,2,,1,1,4,4,5,2,,,2,3,,,,,,,6,8,5,,9,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,9,,,,0,127,0,4,1,,2,1,2,3,,1,1,,,,2,,,3,,,5,4,4,2,,2,3,,2,4,1,,,,,2,5,,1,,3,4,,,,,,,,3,2,,3,3,4,2,3,2,,,4,3,1,8,,2,5,,4,2,1,2,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,6,,,,,,,1,,5,1,,4,,,,,4,5,4,2,2,,,4,1,5,1,,,2,,4,5,,,,,,,,,,,,,,9,,2,,,,,4,,,,,,,,,,7,,,,3,3,4,2,,,3,1,,2,3,4,,1,2,2,2,3,2,4,5,2
2393,2,31,4,18,4,1,3,2,,1,3,2,,,,,,,,,,,3,1,,,,,,4,3,,,,4,,,,,,,3,3,3,1,,2,,1,2,,2,,,,,,,,2,11,2,8,,,,,,,,,,,,,,,,1,,7,2,1,,5,1,3,,,,,5,,,,,,,,,3,3,3,3,2,1,3,,3,,2,,110,100,,,,,,,,,,,,,,,0,,,,,,,,,,4,5,8,,5,2,,,2,3,,,2,2,,3,3,5,3,3,2,,,,,,,,,8,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,9,,,,0,0,0,5,5,기타,4,2,1,3,,1,,,,4,,,,,,,3,3,3,1,,1,3,,2,4,1,,,,,1,6,,,,,,,,,,,10,,3,2,,3,3,3,3,2,2,,,3,1,9,3,,9,,,2,2,2,2,2,2,1,1,1,1,,,4,5,6,,,,,,,,,,1,2,,,,,,,,,,,,,,6,,,,,,,1,,3,1,,4,,,,,3,4,4,2,2,,,3,2,,1,,,,,,,,7,,,,,,,,,,,,9,,2,,,,,,,6,,,,,,,,,,,,3,3,4,2,,,3,1,,3,8,,,2,4,3,2,3,3,3,3,3
2394,1,39,5,8,5,3,1,1,3,3,3,1,,,,,,,,,1,,2,1,,,,,,4,5,1,,,,2,,,3,,,2,2,2,1,,1,,5,3,,2,9500,100,0,0,0,,120,1,1,4,7,,,,,,,,,,9,,,,,,1,,39,0,3,전라북도,5,2,4,,,,,5,,,,,,,,,3,4,4,3,3,4,2,,3,,3,,,,100,140,10,10,15,0,40,10,10,5,40,0,380,,0,1,,2,3,,5,,,,2,1,7,,4,2,,,,,4,,,,,,,3,1,2,2,,,,,,,,,8,,,,,,,,,2,,,5,6,7,8,,,,,2,3,,,6,,,,,18000,,,,,,,,,9,,,,0,0,0,4,2,,1,3,2,1,,2,,,,4,,,,,,,4,3,2,2,,4,1,5,2,4,5,,,,,2,3,,,,,4,,,7,,,,,1,,,3,4,4,2,3,2,,,3,1,5,6,,1,3,,2,4,3,2,2,4,2,2,3,1,2,,4,,,7,,,,,,,,,,,,,,,,,9,,,,,,,6,,,,,,,1,,1,4,,4,,,,,4,4,5,2,2,,,3,1,1,6,,,,,,,,,8,,,,,,,5,,,,,,2,,,,,,,6,,,,,,,,,,,,3,1,3,2,,,1,1,,1,1,2,,3,3,3,3,3,4,4,1,0
2395,1,30,4,5,3,3,1,1,1,7,1,,1,,6,1,,3,,1,1,3,,,,,,,,4,3,1,,3,,2,,2,1,,1,4,3,4,1,,1,,4,2,,2,50000,50,0,50,0,,,1,7,8,1,,,,,,,6,,,,,,,,,3,부산,6,6,3,하동,4,2,3,1,2,3,,,2,2,1,,1,1,,,4,4,4,4,3,4,1,,1,,4,300,,,40,30,10,10,5,0,30,0,0,20,20,0,165,,0,1,1,2,,,,6,,,1,2,7,,4,2,,1,2,,,2,2,,1,1,,4,4,4,2,,1,2,,,,,,,,2,5,8,,1,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,9,,,,0,500,500,4,1,,3,2,3,1,,2,1,,,,2,,,3,,,4,4,4,2,,5,1,8,1,4,3,,4,5,,4,,,,,,4,,,7,,,,,2,,,3,3,4,4,4,2,,,2,2,1,5,,1,5,,2,2,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,6,,,,,,,1,,1,3,,4,,,,,2,3,2,3,2,,,3,1,3,1,,,,,,,,,,9,,,2,,,5,,,,,,1,3,,,,,,6,,,,,,,,,,,,2,4,4,2,,,3,7,,3,1,3,,3,3,3,3,3,4,4,7,7
2396,1,27,3,16,3,1,3,2,,5,1,,3,,1,1,,5,,2,,3,,,,,,,,4,3,,,,4,,,,,,,3,3,4,2,,2,,3,1,,,,,,,,,,1,3,1,11,,,,,,,,,,,,,,,,1,,23,0,1,,3,3,5,,,,,5,,,,,,,,,3,4,4,3,3,2,4,,1,,2,150,30,10,,,,,,,,,,,,,,,200,,,,,,,,,,4,1,5,,5,2,,,2,,,,2,,,1,,4,5,4,2,,,2,,,,,,,,2,8,1,,1,,1,,,,,,,,,,,1,,,,,,,,,,800,,,,,,,,,9,,,,0,0,0,4,1,,3,1,3,2,,2,1,,,,1,,,,,,5,3,3,2,,1,3,,1,4,5,,,,,1,7,,,,,4,,,,,,,,3,1,,3,3,4,2,3,2,,,3,3,1,11,,2,5,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,6,,,,,,,2,,7,,,4,,,,,1,3,2,3,2,,,3,1,5,1,,,,,,,,,,9,,,,,,,,,,9,,1,10,,,,,,6,,,,,,,,,,,,3,3,3,2,,,3,7,,3,1,5,,3,3,3,2,3,3,4,8,6
2397,1,29,3,14,4,1,3,2,,5,1,,1,,5,2,,1,,2,,4,,,,,,2,,,3,,,,4,,,,,,,4,4,3,3,,1,,5,1,,,,,,,,,,1,4,3,10,,,,,,,,,,,,,,,,2,,5,0,1,,4,4,4,,,,4,,,,,2,,,,2,4,4,4,2,1,4,2,,3,,8,250,150,0,,,,,,,,,,,,,,,0,,,,,,,,,,1,2,9,,4,2,,,,,4,,,,,,,4,3,3,2,,1,2,3,,,,,,,6,5,8,,1,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,9,,,,0,1500,0,4,2,,4,1,3,6,,2,,,,4,,,,,,,4,5,5,2,,5,3,,2,4,1,,,,,5,,,,,,,,6,,,,,,3,3,,4,3,4,4,4,2,,,4,1,2,3,,1,3,,3,2,3,3,4,3,3,3,2,,,,,,,,,,,,,,,15,1,,,,,,,,,,,,,,,6,,,,,,,1,,1,3,,3,1,5,6,,4,5,5,4,2,,,4,2,,2,,,,,,,,,,9,,,,,,5,,,,,,2,,,,,,,6,,,,,,,,,,,,3,4,5,2,,,4,7,,,1,5,,2,3,3,3,3,4,4,8,7
2399,2,24,2,15,1,3,3,2,,5,1,,1,,6,1,,7,,2,,3,,,,,,,,4,2,,,3,,,,2,,,3,4,3,4,1,,1,,2,3,,2,1000,0,0,100,0,,70,1,9,3,1,,1,2,,,,6,,,,,4,3,6,,3,전라,2,2,3,전라,5,3,3,,,,4,,,,,2,,,,1,5,4,3,4,2,1,3,,3,,3,350,,,40,70,10,10,7,0,0,0,5,0,10,0,152,,0,2,,,,,,,,,2,1,4,,3,2,,,,3,,,,2,,,3,5,5,5,2,,1,2,,,,,,,,2,8,1,,9,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,9,,,,0,4000,0,4,2,,4,1,2,3,,2,,,,4,,,,,,,4,4,4,2,,3,3,,1,4,1,,,,,1,4,,1,,,4,,6,7,,,,,4,1,,2,2,4,3,3,1,2,1,4,1,2,5,,5,4,,4,1,3,4,3,1,2,1,1,,,,,,,,,,,,,,,15,1,2,,,,,,,,,,,,,,6,,,,,,,1,,7,,,3,2,3,9,,1,3,1,4,2,,,4,1,5,1,,,,,,,,7,,,,1,,,,,,,,,,1,1,,,,,,6,,,,,,,,,,,,1,4,3,2,,,4,3,,4,4,5,,3,4,3,3,3,4,4,7,6
2400,1,24,2,4,4,1,3,2,,5,1,,1,,6,2,,10,,2,,2,,,,,,,3,,5,1,2,,,2,2,,3,1,,1,4,1,2,,1,,5,1,,,,,,,,,,2,1,4,3,,,,,,,,,,,,,,,,1,,24,0,1,,2,1,2,1,2,3,4,,2,2,2,2,3,3,3,3,2,2,2,2,4,3,2,,3,,8,250,30,0,,,,,,,,,,,,,,,400,,,,,,,,,,1,9,2,,3,2,,1,2,3,,2,2,2,3,3,3,1,1,1,2,,,2,3,,,,,,,2,5,8,,1,,1,,3,,,,,,,,,1,2,,,,,,,,,5000,,,,,,,,,9,,,,5000,800,0,3,,,2,2,3,1,,1,,,3,,,,2,,,3,1,1,1,2,,3,3,,1,4,1,,,,,4,,,,,,4,,,7,,,,,5,3,,3,3,3,3,3,1,2,3,4,2,1,3,,1,2,,4,1,1,2,1,1,1,1,1,,,,,,,,,,,,,,,15,,,,,,,,,9,,,,,,,6,,,,,,,1,,2,5,,4,,,,,2,2,2,3,1,2,2,4,2,,1,,,,,4,5,,,,,,,,,,5,,,,,,1,5,1,,,,,,,1,,,,,,,,,,2,3,3,2,,,4,3,,1,5,4,,2,1,2,1,1,4,4,7,7
2401,1,21,2,15,4,1,3,2,,4,1,,6,,4,,,2,,2,,1,,,,,,,,4,2,1,,3,,2,,2,1,,1,4,4,4,1,,2,,4,6,,2,,,,,,,,2,10,1,4,,,,,,,,,,,,,,,,1,,3,2,1,,2,4,5,,,,,5,,,,,,,,,5,5,5,5,2,4,1,,3,,3,380,100,80,,,,,,,,,,,,,,,0,,,,,,,,,,1,5,2,,5,2,,,,3,,,,2,,,1,5,5,5,2,,,,,,,,,8,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,9,,,,0,0,0,5,1,,3,2,1,6,,2,1,,,,2,,,2,,,4,4,4,1,,1,2,,2,4,5,,,,,2,3,,,2,3,4,,,,,,,,5,3,,5,5,5,3,5,2,,,5,3,4,8,,3,5,,1,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,,15,,,,,,,,,9,,,,,,,6,,,,,,,3,,1,3,,4,,,,,1,3,2,4,2,,,4,1,5,1,,,,,,,,7,,,,,,,,,,,,9,,1,3,,,,,,6,,,,,,,,,,,,3,4,3,2,,,5,1,,,3,4,,2,3,3,3,2,4,4,6,8
2402,2,21,2,25,3,1,3,2,,4,3,1,,,,,,,,,,,4,1,,,,,,4,1,,,3,,,,2,,,1,5,5,5,2,,1,,4,2,,1,,,,,,,,2,3,9,11,,,,,,,,,,,,,,,,1,,21,4,1,,4,1,4,,,,4,,,,,2,,,,1,5,5,5,5,1,2,3,,3,,2,,30,50,,,,,,,,,,,,,,,0,,,,,,,,,,1,3,5,,5,2,,1,2,,,2,2,,1,1,,5,5,5,1,,,,,,5,,,,,2,8,5,,9,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,9,,,,0,0,0,5,1,,2,1,2,3,,2,,,,4,,,,,,,4,4,5,2,,2,3,,2,4,3,,4,5,,3,,,,2,3,4,,,7,,,,,5,3,,3,5,5,4,3,2,,,2,4,7,6,,5,2,,4,3,3,4,3,1,1,1,1,1,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,6,,,,,,,1,,1,3,,4,,,,,5,4,4,3,2,,,3,2,,4,,,,,,5,,,,,,,,,,,,,,9,,1,2,,,,,,6,,,,,,,,,,,,3,3,3,1,2,2,4,5,,,3,1,,1,3,3,3,2,5,4,7,6
2403,2,29,3,21,3,1,3,2,,5,1,,2,,6,2,,1,,2,,3,,,,,,,,4,3,,2,,,,2,,,1,,3,3,3,3,,1,,5,1,,,,,,,,,,2,2,10,11,,,,,,,,,,,,,,,,3,부산,1,10,1,,3,3,3,,,,,5,,,,,,,,,3,3,3,3,6,,,,1,,2,220,100,10,,,,,,,,,,,,,,,600,,,,,,,,,,1,6,10,,3,1,10,,,3,,,,1,,,,3,3,3,2,,,,,,,,,8,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,9,,,,0,0,0,3,,,3,7,3,5,,2,,,,4,,,,,,,3,3,3,2,,2,3,,2,4,5,,,,,1,7,,,,,,,,,,,10,,3,3,,3,3,3,3,3,2,,,3,3,6,5,,1,3,,3,3,3,3,3,3,1,1,1,,,,,5,6,,,,,,,,,,,2,,,5,,,,,,,,,,,6,,,,,,,2,,4,2,,4,,,,,3,3,3,3,2,,,3,2,,8,,,,,,5,,,,,,,,,,,,,,9,,2,,,,,,,6,,,,,,,,,,,,3,3,3,2,,,3,7,,3,8,,,3,3,3,3,3,3,3,5,5
2404,2,29,3,4,4,1,3,2,,5,1,,5,,,,,12,,1,,3,,,,,1,,3,,4,1,,3,,2,,2,1,,1,4,4,4,3,,1,,4,1,,,,,,,,,,2,1,3,4,,,,,,,,,,,,,,,,1,,26,0,1,,5,2,3,1,,3,,,2,,2,,1,,1,,4,4,4,4,2,3,4,,3,,7,150,100,0,,,,,,,,,,,,,,,500,,,,,,,,,,1,2,4,,4,1,50,1,2,3,,2,2,1,1,1,,4,4,4,2,,1,2,,,,,,,,1,2,5,,5,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,9,,,,0,4400,0,4,1,,2,2,1,3,,2,1,,,,2,,,1,,,4,4,4,1,,5,2,,2,4,1,,,,,1,4,,,2,3,4,5,6,,,,,,4,1,,4,2,4,3,3,1,2,1,4,1,9,2,,4,1,,1,2,2,2,1,1,2,1,1,1,2,3,,,6,,,,,11,,,,,,2,,,,,,,,,,,,,,6,,,,,,,1,,3,5,,3,2,1,5,,3,3,3,4,2,,,4,1,15,1,,,2,3,4,,,,,,,,,,4,,,,,,,2,,,,,,,6,,,,,,,,,,,,2,4,4,2,,,4,1,,3,1,4,,4,4,4,4,4,4,3,8,6
2406,1,25,3,22,4,1,3,2,,4,1,,2,,4,1,,11,,2,,2,,,,,1,2,3,,3,,2,,,,2,,,1,,4,4,5,1,,1,,4,2,,2,,,,,,,,1,8,3,4,,,,,,,,,,,,,,,,1,,24,0,1,,4,4,3,1,2,,,,2,2,,,1,1,,,4,4,4,4,3,4,1,,3,,4,170,40,20,,,,,,,,,,,,,,,400,,,,,,,,,,2,4,10,,4,2,,1,2,3,,2,2,2,1,3,1,5,5,5,2,,,2,,,5,,,,,2,3,8,,2,,1,,,,,,,,,,,1,,,,,,,,,,300,,,,,,,,,9,,,,0,0,0,4,1,,3,1,3,2,,1,,,,4,,,,,,,5,4,4,2,,3,3,,1,3,1,,,,,4,,,1,2,3,4,,,7,,,,,4,3,,4,4,4,4,4,1,1,,4,3,10,1,,1,4,,3,2,1,2,1,1,1,1,1,1,2,,4,,6,,,,,,,,,,1,2,,,,,,,,,,,,,,6,,,,,,,2,,3,5,,2,2,3,9,,5,4,4,4,2,,,4,1,7,1,,,2,,,,,,,,,,,,,5,,,,,,1,4,,,,,,6,,,,,,,,,,,,2,4,5,2,,,3,5,,2,4,3,,2,4,3,3,3,4,4,6,6
2407,1,29,3,3,1,2,3,2,,5,1,,4,,4,1,,5,,2,,3,,,,,,,,4,3,,,,4,,,,,,,3,3,3,3,,2,,2,3,,2,1000,0,0,100,0,,50,1,1,3,4,,,,,,,,,,9,,1,4,7,,3,경북,10,5,3,경북,3,3,3,,,,,5,,,,,,,,,3,3,3,3,4,1,2,,3,,1,30,30,80,,,,,,,,,,,,,,,0,2,,,,,,,,,1,2,4,,3,2,,,,,4,,,,,,,3,3,3,2,,,2,,,,,,,,5,8,9,,7,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,9,,,,0,0,0,3,,,3,1,2,3,,2,,,,4,,,,,,,3,3,3,2,,4,3,,2,4,5,,,,,4,,,,,,4,,,,,,,,3,3,,3,3,3,3,3,1,2,1,3,1,2,3,,1,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,9,,,,,,,,,,,,,,,9,,,,,,,6,,,,,,,1,,1,5,,4,,,,,3,3,3,3,2,,,3,2,,4,,,,,,5,,,,,,,,,,,,,,9,,2,,,,,,,6,,,,,,,,,,,,3,3,3,2,,,3,1,,,1,3,,3,3,3,3,3,3,3,5,5
2409,2,24,2,19,4,1,3,2,,4,3,3,,,,,,,,,,,5,2,3,,,,,4,4,1,,3,,2,,2,1,,1,4,4,4,3,,1,,4,1,,,,,,,,,,2,1,11,3,,,,,,,,,,,,,,,,1,,24,8,1,,5,3,4,1,2,3,4,,2,2,2,2,1,1,1,1,4,4,4,4,1,2,4,,3,,2,,40,100,,,,,,,,,,,,,,,400,,,,,,,,,,1,2,6,,5,1,50,1,2,3,,2,2,2,1,1,1,4,4,3,2,,,2,3,,,,,,,2,8,5,,9,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,9,,,,0,0,0,5,1,,4,1,2,3,,2,1,,3,,2,,2,3,,1,4,4,4,1,,2,3,,2,4,1,,,,,4,,,,,,4,,,7,,,,,5,2,,4,4,4,4,4,2,,,5,1,3,4,,1,2,,2,1,1,2,1,1,1,1,4,,,,,,,,,,,,,,,15,,,,,,,,,9,,,,,,,6,,,,,,,1,,1,5,,4,,,,,2,3,2,3,2,,,4,1,5,1,,1,2,,,,,,,,,,,,,,,7,,,,1,2,,,,,,6,,,,,,,,,,,,3,4,3,2,,,4,5,,3,3,2,,2,4,3,3,3,4,3,7,6
2410,2,21,2,16,5,1,3,2,,4,3,3,,,,,,,,,,,3,1,8,,1,,3,,4,1,2,3,,2,2,2,3,1,3,4,4,5,3,,1,,3,4,,2,,,,,,,,1,9,10,3,,,,,,,,,,,,,,,,1,,11,4,1,,4,3,4,,2,3,,,,2,2,,,3,3,,5,5,4,4,4,3,2,,1,,4,,20,30,,,,,,,,,,,,,,,0,,,,,,,,,,1,4,6,,3,2,,1,2,,,2,2,,3,3,,5,5,4,1,,1,,,,,,,,,2,6,7,,9,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,9,,,,0,0,0,3,,,2,2,7,1,,1,1,,,,2,,,3,,,5,5,4,2,,4,3,,1,4,1,,,,,3,,,,,,4,,,,,,,,4,1,,5,5,4,5,5,1,1,,4,4,10,3,,1,3,,2,2,2,2,2,1,1,1,1,,,,,,6,,,,,,,,,,,,,,,,,,9,,,,,,,6,,,,,,,2,,2,1,,4,,,,,3,4,3,3,1,2,2,4,2,,1,,,2,,,,,,,,,,,,,,,,,9,,1,5,,,,,,6,,,,,,,,,,,,3,4,4,2,,,4,5,,4,1,4,,2,4,3,1,2,4,4,7,6
2411,1,33,4,24,2,3,1,2,,5,1,,5,,,,,5,,1,1,3,,,,,,2,,,4,,,,4,,,,,,,4,4,4,3,,2,,3,2,,2,27000,10,80,10,0,,,1,3,10,1,,,,,,,,,,9,,,,,,3,강원 강릉,7,0,3,강원 강릉,4,3,4,,,3,,,,,1,,,,,,3,3,5,3,3,1,4,,3,,4,300,,,60,15,5,40,20,0,0,2,5,10,0,0,157,,0,2,,,,,,,,,1,4,2,,4,1,70,,,3,,,,2,,,3,4,4,4,2,,1,2,,,,,,,,2,8,7,,1,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,9,,,,7500,2000,0,4,1,,4,1,2,3,,2,,,,4,,,,,,,5,3,3,1,,4,3,,1,4,2,,4,5,,1,1,,,,3,4,,6,7,,,,,4,2,,4,4,4,4,4,2,,,5,1,2,5,,3,2,,2,1,1,2,2,1,2,1,1,,,,,,,,,,,,,,,15,1,2,,,,,,,,,,,,,,6,,,,,,,1,,1,5,,2,2,1,3,,2,2,2,4,2,,,4,1,1,1,,1,2,,,,,,,,,,,,,,,,,9,,2,,,,,,,6,,,,,,,,,,,,3,4,4,2,,,4,1,,2,2,1,,2,2,2,2,2,4,4,7,7
